filename,file_sha256,time_origin,sequence,repetition,duty_percent,payload_bits,coded_body_bits,sample_count,sample_rate_hz,frame_start_seconds,message_seconds,required_off_tail_seconds,validation_role
frames/relative/rs18-sequence-28.csv,67a45627d918e91d272dd9820fa0e49db197a2a8a9e528fb8757f4b1f0799207,relative,28,4,25.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-28.csv,1e5139895ec1b27bd9eaeafdf8d21a780963b8e25b4d211a637544e5060322f5,absolute,28,4,25.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-29.csv,3942efe97867a4611a7d34dcf9fd31b49610dd4b8ddb80aab0ae6637dbfbce5e,relative,29,4,10.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-29.csv,451670aa5f551472e50e95c56252038eb282ff82ff0f21a80dc1ab3de17d1066,absolute,29,4,10.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-30.csv,681c9e130c477221af0f4e83e68418d2b53d1771cf7f515adea6af8e89320e21,relative,30,4,1.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-30.csv,5d5299ba253a0247657c3b7ef1e648246c1d919249861e9264b914ff7e53fcf2,absolute,30,4,1.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-31.csv,d890c002175c538a5c0539eef63691cfdef0b2df7cd7425fac3d9018ad9c1dba,relative,31,4,100.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-31.csv,c079ecbdf16511d53648d89187052b69931325b8921700d684b7fa8e0e2c39ad,absolute,31,4,100.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-32.csv,a2005d2c1cdca065ebab1115fdf72f53cdc0d18beb4b5486ab867bef1a5e8b08,relative,32,4,50.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-32.csv,200bf5d99381e80117132bb074791f980f9532cb30b01a9f2cde88d2a280ae01,absolute,32,4,50.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
